config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
21,complete,4.0,6.0,robust,False,True,False,False,1731297862.2431061,1731297860.7885911,-0.4,0.4,0.8167862892150879
1,complete,4.0,6.0,robust,False,False,False,False,1731297803.338502,1731297801.332402,-0.4,0.4,1.479038953781128
15,complete,4.0,6.0,robust,False,True,False,False,1731297838.591943,1731297836.11698,-0.4,0.4,1.7909681797027588
13,complete,3.0,5.0,robust,False,True,False,False,1731297834.560097,1731297832.6758761,-0.3,0.3,1.284965991973877
20,complete,3.0,6.0,robust,False,True,False,False,1731297860.647847,1731297858.634822,-0.19999999999999996,0.19999999999999996,1.384004831314087
19,complete,3.0,3.0,robust,False,True,True,False,1731297858.502653,1731297851.240758,-0.0,0.0,6.612588167190552
27,complete,4.0,6.0,maxabs,True,True,True,True,1731297885.496516,1731297878.097462,-0.0,0.0,6.783181190490723
29,complete,4.0,6.0,normalize,True,False,True,True,1731297899.644298,1731297892.706079,-0.0,0.0,6.272176027297974
11,complete,3.0,5.0,robust,False,False,True,False,1731297831.029118,1731297824.334603,-0.0,0.0,6.144197940826416
2,complete,3.0,4.0,minmax,False,False,False,False,1731297805.13233,1731297803.341453,-0.0,0.0,1.272386074066162
5,complete,4.0,5.0,maxabs,False,True,True,False,1731297815.059614,1731297808.774493,-0.0,0.0,5.758249998092651
17,complete,4.0,6.0,normalize,True,False,True,False,1731297849.0327911,1731297841.050184,-0.0,0.0,7.401648998260498
26,complete,4.0,6.0,minmax,False,False,True,False,1731297877.8423822,1731297870.4104059,-0.0,0.0,6.764993190765381
14,complete,4.0,5.0,robust,False,False,False,False,1731297835.981039,1731297834.68511,-0.0,0.0,0.6485309600830078
22,complete,3.0,4.0,robust,False,True,False,False,1731297864.028762,1731297862.376571,-0.0,0.0,1.048058032989502
28,complete,4.0,6.0,robust,True,True,True,False,1731297892.571309,1731297885.637036,-0.0,0.0,6.302778244018555
24,complete,4.0,6.0,minmax,False,True,True,False,1731297868.058975,1731297866.255177,-0.0,0.0,1.1861040592193604
12,complete,4.0,3.0,robust,True,False,False,False,1731297832.547062,1731297831.151768,-0.0,0.0,0.6337411403656006
8,complete,3.0,4.0,normalize,True,False,False,True,1731297820.326664,1731297818.508381,-0.0,0.0,1.2789790630340576
30,complete,4.0,4.0,minmax,False,True,False,False,1731297901.9591749,1731297899.7954931,-0.0,0.0,1.50034499168396
6,complete,5.0,4.0,normalize,False,False,False,False,1731297816.4286232,1731297815.062879,-0.0,0.0,0.8384089469909668
7,complete,5.0,4.0,normalize,False,False,False,False,1731297818.505116,1731297816.431821,-0.0,0.0,1.5297999382019043
16,complete,5.0,4.0,robust,False,False,False,False,1731297840.917315,1731297838.764857,0.09999999999999998,-0.09999999999999998,1.5333638191223145
25,complete,4.0,6.0,robust,False,True,False,True,1731297870.2633758,1731297868.196741,0.09999999999999998,-0.09999999999999998,1.4385168552398682
18,complete,4.0,6.0,normalize,False,False,False,False,1731297851.1117172,1731297849.162735,0.2,-0.2,1.37272310256958
4,complete,2.0,4.0,maxabs,False,True,False,False,1731297808.7709298,1731297807.0454779,0.30000000000000004,-0.30000000000000004,1.2122809886932373
9,complete,4.0,6.0,normalize,False,False,False,True,1731297822.3948941,1731297820.330009,0.30000000000000004,-0.30000000000000004,1.4774060249328613
10,complete,2.0,6.0,normalize,True,True,False,False,1731297824.2115772,1731297822.3983202,0.4,-0.4,1.2650742530822754
23,complete,4.0,6.0,minmax,True,False,False,True,1731297866.12511,1731297864.158937,0.5,-0.5,1.3840041160583496
3,complete,4.0,5.0,standardize,False,False,False,False,1731297807.042342,1731297805.13553,0.5,-0.5,1.3577609062194824
