config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
13,complete,4.0,5.0,robust,False,False,False,True,1731301397.4692202,1731301395.2595289,-0.14596273291925466,0.14596273291925466,1.551335096359253
15,complete,4.0,5.0,robust,False,False,True,True,1731301408.5938509,1731301399.8882089,-0.11180124223602483,0.11180124223602483,8.004976034164429
9,complete,2.0,3.0,normalize,False,False,False,False,1731301389.853767,1731301387.995239,-0.08695652173913049,0.08695652173913049,1.250615119934082
14,complete,4.0,5.0,normalize,False,False,False,True,1731301399.76652,1731301397.5929532,-0.05900621118012428,0.05900621118012428,1.5571184158325195
6,complete,5.0,5.0,robust,False,False,False,True,1731301380.382632,1731301378.145746,-0.04347826086956519,0.04347826086956519,1.625075101852417
16,complete,4.0,5.0,normalize,False,False,False,False,1731301410.807381,1731301408.717797,-0.04347826086956519,0.04347826086956519,1.449354887008667
23,complete,4.0,5.0,robust,False,False,False,True,1731301445.82981,1731301443.387902,-0.04347826086956519,0.04347826086956519,1.6307501792907715
22,complete,4.0,4.0,robust,False,False,False,True,1731301443.251368,1731301441.725318,-0.04347826086956519,0.04347826086956519,0.8045129776000977
8,complete,4.0,5.0,minmax,True,False,False,False,1731301387.991866,1731301386.509995,-0.02795031055900621,0.02795031055900621,0.8613922595977783
4,complete,5.0,3.0,robust,False,False,False,False,1731301376.244252,1731301374.081995,-0.018633540372670843,0.018633540372670843,1.5277929306030273
11,complete,3.0,4.0,normalize,False,False,False,False,1731301393.133564,1731301391.883116,-0.0,0.0,0.6362330913543701
20,complete,2.0,3.0,minmax,False,False,True,True,1731301432.144768,1731301423.635978,-0.0,0.0,7.805589199066162
27,complete,3.0,2.0,robust,False,False,False,False,1731301454.580829,1731301453.118936,-0.0,0.0,0.7457118034362793
19,complete,2.0,3.0,robust,False,True,True,True,1731301423.508178,1731301414.375765,-0.0,0.0,8.420153856277466
21,complete,2.0,3.0,robust,False,False,True,True,1731301441.598254,1731301432.2662148,-0.0,0.0,8.567199945449829
18,complete,3.0,5.0,robust,False,False,False,True,1731301414.2427368,1731301412.304798,-0.0,0.0,1.2662529945373535
2,complete,3.0,3.0,maxabs,False,False,True,True,1731301372.649416,1731301364.1693928,-0.0,0.0,7.858103036880493
3,complete,4.0,6.0,robust,False,False,False,False,1731301374.078722,1731301372.6527061,-0.0,0.0,0.785620927810669
17,complete,2.0,3.0,robust,True,False,False,True,1731301412.174332,1731301410.927901,-0.0,0.0,0.5627260208129883
25,complete,2.0,4.0,robust,False,False,False,True,1731301450.419734,1731301448.5272121,-0.0,0.0,1.079324722290039
24,complete,4.0,3.0,robust,False,False,False,True,1731301448.398954,1731301445.96795,-0.0,0.0,1.7420029640197754
30,complete,2.0,2.0,robust,False,False,False,True,1731301467.649798,1731301465.427862,-0.0,0.0,1.4438676834106445
1,complete,2.0,5.0,standardize,False,False,True,False,1731301364.1664078,1731301358.951466,-0.0,0.0,4.621448993682861
7,complete,5.0,2.0,normalize,False,False,True,False,1731301386.5062678,1731301380.386004,-0.0,0.0,5.4481201171875
12,complete,2.0,3.0,normalize,True,False,False,False,1731301395.138245,1731301393.252466,0.015527950310559008,-0.015527950310559008,1.2602360248565674
10,complete,2.0,3.0,standardize,False,True,False,False,1731301391.762547,1731301389.857501,0.015527950310559008,-0.015527950310559008,1.2895190715789795
26,complete,4.0,2.0,robust,False,False,False,True,1731301452.981214,1731301450.556921,0.05590062111801242,-0.05590062111801242,1.7244751453399658
29,complete,5.0,6.0,normalize,False,False,False,False,1731301465.297535,1731301462.832632,0.08695652173913043,-0.08695652173913043,1.729468822479248
28,complete,3.0,6.0,normalize,False,False,True,False,1731301462.702878,1731301454.7190342,0.09316770186335399,-0.09316770186335399,7.29997992515564
5,complete,2.0,6.0,minmax,False,False,False,False,1731301378.1410198,1731301376.248412,0.10248447204968944,-0.10248447204968944,1.2913649082183838
