config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
15,complete,3.0,6.0,normalize,True,False,False,False,1731301300.16375,1731301298.216958,-0.27639751552795033,0.27639751552795033,1.4212398529052734
14,complete,3.0,6.0,normalize,False,False,False,False,1731301298.089462,1731301296.188155,-0.21739130434782605,0.21739130434782605,1.347546100616455
28,complete,3.0,4.0,minmax,False,True,False,True,1731301355.449009,1731301353.26108,-0.05900621118012428,0.05900621118012428,1.6097068786621094
16,complete,3.0,6.0,normalize,True,False,False,True,1731301302.244481,1731301300.288743,-0.03105590062111796,0.03105590062111796,1.4241321086883545
23,complete,3.0,6.0,normalize,False,True,False,False,1731301332.8529122,1731301330.8407638,-0.018633540372670843,0.018633540372670843,1.3533241748809814
3,complete,4.0,6.0,normalize,False,False,False,False,1731301267.474102,1731301266.052573,-0.0,0.0,0.9276890754699707
26,complete,3.0,6.0,minmax,False,False,True,True,1731301344.567594,1731301336.741146,-0.0,0.0,7.235137939453125
19,complete,3.0,6.0,standardize,False,True,True,True,1731301318.828861,1731301310.212546,-0.0,0.0,8.047904968261719
27,complete,3.0,6.0,standardize,False,False,True,False,1731301353.111726,1731301344.693792,-0.0,0.0,7.749744892120361
11,complete,3.0,3.0,normalize,False,False,False,False,1731301292.222073,1731301291.051069,-0.0,0.0,0.6523652076721191
2,complete,3.0,2.0,standardize,True,True,False,False,1731301266.0493948,1731301264.89913,-0.0,0.0,0.6625571250915527
4,complete,2.0,4.0,minmax,False,False,False,True,1731301269.309207,1731301267.477074,-0.0,0.0,1.3461329936981201
17,complete,3.0,6.0,normalize,True,False,True,False,1731301308.013825,1731301302.366027,-0.0,0.0,5.021722793579102
10,complete,4.0,3.0,normalize,False,False,True,False,1731301290.933996,1731301283.591562,-0.0,0.0,6.82924485206604
25,complete,3.0,6.0,standardize,True,False,False,True,1731301336.6106398,1731301334.5402,-0.0,0.0,1.453674077987671
22,complete,3.0,6.0,minmax,True,True,True,False,1731301330.716083,1731301323.1078641,-0.0,0.0,7.062734127044678
8,complete,2.0,3.0,standardize,True,False,False,False,1731301281.8213131,1731301280.615587,-0.0,0.0,0.6858980655670166
30,complete,4.0,2.0,normalize,False,False,False,False,1731301358.9040792,1731301357.6645849,-0.0,0.0,0.6632733345031738
6,complete,5.0,2.0,normalize,False,False,False,True,1731301273.423836,1731301271.144417,-0.0,0.0,1.6992828845977783
1,complete,2.0,4.0,normalize,False,False,False,False,1731301264.896086,1731301263.737071,-0.0,0.0,0.6726598739624023
7,complete,3.0,4.0,normalize,False,True,True,False,1731301280.611872,1731301273.4273942,-0.0,0.0,6.682312965393066
13,complete,2.0,3.0,normalize,False,False,False,False,1731301296.066009,1731301294.239043,0.012422360248447228,-0.012422360248447228,1.311095952987671
12,complete,2.0,5.0,normalize,False,False,False,False,1731301294.119835,1731301292.342797,0.02795031055900621,-0.02795031055900621,1.254216194152832
18,complete,3.0,6.0,normalize,True,True,False,False,1731301310.091538,1731301308.137852,0.02795031055900621,-0.02795031055900621,1.420443058013916
24,complete,3.0,2.0,minmax,False,False,False,False,1731301334.420108,1731301332.978613,0.037267080745341685,-0.037267080745341685,0.8752882480621338
5,complete,3.0,5.0,standardize,True,False,False,False,1731301271.140821,1731301269.312491,0.04968944099378886,-0.04968944099378886,1.3371238708496094
20,complete,3.0,6.0,maxabs,False,False,False,True,1731301320.976675,1731301318.956815,0.0714285714285714,-0.0714285714285714,1.4634511470794678
29,complete,3.0,6.0,robust,True,False,False,False,1731301357.532146,1731301355.5791628,0.08385093167701863,-0.08385093167701863,1.337507963180542
9,complete,2.0,6.0,robust,False,False,False,False,1731301283.588358,1731301281.824794,0.11801242236024845,-0.11801242236024845,1.2627661228179932
21,complete,3.0,6.0,normalize,True,False,False,False,1731301322.984297,1731301321.098451,0.15217391304347827,-0.15217391304347827,1.3367359638214111
