config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
9,complete,3.0,5.0,normalize,False,False,False,False,1731301129.3068469,1731301127.756994,-1.0,1.0,1.2752819061279297
7,complete,2.0,6.0,minmax,False,False,False,False,1731301125.9719691,1731301124.285884,-1.0,1.0,1.1945321559906006
6,complete,4.0,6.0,minmax,False,False,False,False,1731301124.281892,1731301122.67017,-1.0,1.0,1.347693920135498
27,complete,3.0,2.0,minmax,False,False,False,False,1731301163.21187,1731301162.3351822,-1.0,1.0,0.5429189205169678
20,complete,3.0,4.0,minmax,False,False,True,True,1731301149.094711,1731301145.458814,-1.0,1.0,3.335440158843994
16,complete,3.0,4.0,minmax,False,False,False,False,1731301141.409652,1731301139.691614,-1.0,1.0,1.4086589813232422
17,complete,4.0,3.0,minmax,False,False,False,False,1731301143.264677,1731301141.539744,-1.0,1.0,1.4146041870117188
28,complete,5.0,4.0,minmax,False,False,False,False,1731301165.1313999,1731301163.336662,-0.0,0.0,1.4541630744934082
21,complete,4.0,3.0,minmax,False,False,False,True,1731301150.879415,1731301149.217141,-0.0,0.0,1.354201078414917
26,complete,4.0,4.0,minmax,False,False,False,False,1731301162.206788,1731301161.237592,-0.0,0.0,0.6383988857269287
19,complete,2.0,5.0,minmax,False,False,False,False,1731301145.333295,1731301143.818043,-0.0,0.0,1.2235641479492188
18,complete,3.0,4.0,minmax,True,False,False,False,1731301143.692234,1731301143.395201,-0.0,0.0,0.0002582073211669922
29,complete,2.0,3.0,minmax,False,False,False,False,1731301166.920565,1731301165.259093,-0.0,0.0,1.2670361995697021
11,complete,3.0,5.0,maxabs,False,False,True,False,1731301132.463905,1731301129.7354722,-0.0,0.0,2.4435718059539795
2,complete,2.0,2.0,normalize,True,False,False,False,1731301118.452398,1731301118.209729,-0.0,0.0,0.00017905235290527344
5,complete,4.0,5.0,normalize,False,False,False,True,1731301122.66691,1731301120.910944,-0.0,0.0,1.5006599426269531
3,complete,3.0,6.0,minmax,False,False,False,False,1731301119.241359,1731301118.455648,-0.0,0.0,0.5349640846252441
14,complete,3.0,5.0,minmax,False,False,False,False,1731301137.8364239,1731301136.242835,-0.0,0.0,1.304114818572998
25,complete,3.0,4.0,normalize,True,True,True,True,1731301161.106035,1731301160.752627,-0.0,0.0,0.00021409988403320312
22,complete,4.0,6.0,minmax,False,False,True,False,1731301154.521527,1731301151.005513,-0.0,0.0,3.206683874130249
23,complete,4.0,2.0,normalize,False,False,True,True,1731301157.218536,1731301154.643664,-0.0,0.0,2.246551990509033
24,complete,4.0,3.0,standardize,False,False,True,True,1731301160.629153,1731301157.343523,-0.0,0.0,2.966409921646118
12,complete,3.0,5.0,minmax,False,True,False,False,1731301134.272608,1731301132.581717,-0.0,0.0,1.271294355392456
8,complete,3.0,3.0,normalize,False,False,True,False,1731301127.753278,1731301125.97559,-0.0,0.0,1.506889820098877
30,complete,2.0,2.0,minmax,False,False,False,False,1731301168.606712,1731301167.050194,-0.0,0.0,1.203273057937622
1,complete,4.0,5.0,normalize,False,False,False,False,1731301118.206781,1731301116.9811242,-0.0,0.0,0.9714491367340088
4,complete,4.0,6.0,normalize,False,False,False,False,1731301120.907731,1731301119.244411,-0.0,0.0,1.3906948566436768
10,complete,4.0,6.0,normalize,True,False,True,False,1731301129.579207,1731301129.310434,-0.0,0.0,0.0001900196075439453
13,complete,3.0,5.0,robust,False,False,False,False,1731301136.113361,1731301134.400573,1.0,-1.0,1.3970811367034912
15,complete,2.0,6.0,normalize,False,False,False,False,1731301139.570196,1731301137.958873,1.0,-1.0,1.3158578872680664
