config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
3,complete,4.0,3.0,normalize,False,False,False,True,1731297446.2874901,1731297444.823684,-0.5,0.5,1.360788106918335
20,complete,4.0,5.0,robust,False,True,True,False,1731297502.053282,1731297495.771147,-0.4,0.4,6.091786861419678
5,complete,4.0,5.0,robust,False,False,False,False,1731297449.0314949,1731297447.5868359,-0.4,0.4,1.3363430500030518
10,complete,2.0,5.0,robust,False,True,True,True,1731297465.8223512,1731297458.340414,-0.4,0.4,7.350500106811523
7,complete,3.0,5.0,minmax,False,False,False,False,1731297456.3763452,1731297455.010911,-0.4,0.4,1.2517549991607666
11,complete,4.0,4.0,minmax,False,False,False,False,1731297468.008063,1731297466.67537,-0.19999999999999996,0.19999999999999996,1.175431728363037
30,complete,4.0,2.0,minmax,False,False,True,False,1731297551.0786219,1731297543.234835,-0.0,0.0,7.468453884124756
28,complete,3.0,5.0,robust,False,True,True,False,1731297535.66354,1731297528.9390662,-0.0,0.0,6.519101858139038
21,complete,4.0,5.0,robust,True,True,True,True,1731297508.887043,1731297502.200057,-0.0,0.0,6.489911079406738
26,complete,4.0,4.0,robust,False,True,True,True,1731297527.4008489,1731297520.835499,-0.0,0.0,6.362739086151123
19,complete,4.0,5.0,normalize,False,False,True,True,1731297495.648727,1731297489.081214,-0.0,0.0,6.391002893447876
27,complete,3.0,5.0,maxabs,False,False,False,True,1731297528.791517,1731297527.538055,-0.0,0.0,1.0175080299377441
16,complete,4.0,3.0,robust,False,False,True,False,1731297480.146657,1731297473.973184,-0.0,0.0,6.001442909240723
29,complete,3.0,3.0,robust,False,True,True,True,1731297543.090098,1731297535.793922,-0.0,0.0,7.02862811088562
2,complete,3.0,5.0,normalize,False,False,True,False,1731297444.820435,1731297439.144052,-0.0,0.0,5.572426795959473
6,complete,2.0,2.0,standardize,False,True,True,False,1731297455.007314,1731297449.035032,-0.0,0.0,5.8582329750061035
1,complete,3.0,2.0,normalize,False,False,True,False,1731297439.0653281,1731297433.025418,-0.0,0.0,5.930141925811768
14,complete,4.0,3.0,minmax,False,True,False,False,1731297472.17309,1731297470.872152,-0.0,0.0,1.1395158767700195
13,complete,4.0,5.0,robust,False,False,False,True,1731297470.741656,1731297469.1384451,-0.0,0.0,1.447464942932129
25,complete,4.0,5.0,minmax,False,False,False,False,1731297520.7067351,1731297519.100798,-0.0,0.0,1.412510871887207
22,complete,4.0,5.0,normalize,False,False,False,True,1731297510.6518312,1731297509.024265,-0.0,0.0,1.4138338565826416
24,complete,4.0,5.0,minmax,True,False,False,False,1731297518.969405,1731297517.380925,-0.0,0.0,1.3879239559173584
12,complete,4.0,3.0,standardize,False,False,False,False,1731297469.01172,1731297468.1484318,-0.0,0.0,0.7127189636230469
8,complete,2.0,3.0,normalize,False,False,False,True,1731297457.664591,1731297456.3799639,-0.0,0.0,1.1697919368743896
4,complete,2.0,4.0,normalize,False,False,False,False,1731297447.5836391,1731297446.290768,-0.0,0.0,1.1855390071868896
9,complete,2.0,2.0,maxabs,False,False,False,False,1731297458.336755,1731297457.668032,-0.0,0.0,0.5522620677947998
15,complete,2.0,5.0,normalize,False,False,False,True,1731297473.8264372,1731297472.400023,0.09999999999999998,-0.09999999999999998,1.2703509330749512
17,complete,3.0,5.0,normalize,False,True,True,True,1731297487.155724,1731297480.272852,0.19999999999999996,-0.19999999999999996,6.710977077484131
23,complete,2.0,6.0,robust,False,True,True,True,1731297517.251664,1731297510.7934542,0.19999999999999996,-0.19999999999999996,6.262531995773315
18,complete,4.0,3.0,robust,False,False,False,False,1731297488.935918,1731297487.2817652,0.5,-0.5,1.4826180934906006
