config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
7,complete,5.0,3.0,normalize,False,False,False,False,1731301038.61698,1731301036.3970659,-1.0,1.0,2.096414089202881
24,complete,5.0,3.0,maxabs,False,False,False,False,1731301060.357706,1731301058.714729,-1.0,1.0,1.477616786956787
20,complete,5.0,3.0,robust,False,False,False,False,1731301053.5619688,1731301051.883026,-1.0,1.0,1.5292441844940186
29,complete,3.0,4.0,normalize,False,False,False,False,1731301067.3006809,1731301065.204662,-1.0,1.0,1.810460090637207
9,complete,4.0,2.0,normalize,False,False,False,False,1731301040.8305762,1731301039.550549,-0.0,0.0,1.1586639881134033
28,complete,5.0,3.0,normalize,False,False,False,True,1731301065.003996,1731301062.608914,-0.0,0.0,2.083465814590454
21,complete,5.0,3.0,robust,False,True,True,True,1731301057.302637,1731301053.684449,-0.0,0.0,3.439948081970215
26,complete,5.0,3.0,robust,True,False,False,True,1731301061.677918,1731301061.508391,-0.0,0.0,0.00020766258239746094
19,complete,5.0,3.0,maxabs,True,False,True,True,1731301051.759954,1731301051.609503,-0.0,0.0,0.00019621849060058594
27,complete,2.0,3.0,normalize,False,False,False,False,1731301062.471236,1731301061.810008,-0.0,0.0,0.4821739196777344
18,complete,5.0,3.0,normalize,True,True,False,True,1731301051.4821901,1731301051.336024,-0.0,0.0,0.00021791458129882812
16,complete,5.0,3.0,minmax,False,False,False,False,1731301049.596577,1731301048.7316182,-0.0,0.0,0.7211310863494873
11,complete,5.0,3.0,normalize,True,False,False,False,1731301043.985594,1731301043.838034,-0.0,0.0,0.00026679039001464844
2,complete,2.0,5.0,standardize,True,False,False,False,1731301032.543669,1731301032.415573,-0.0,0.0,0.00036716461181640625
5,complete,4.0,3.0,robust,False,False,False,False,1731301036.260607,1731301035.080676,-0.0,0.0,1.0406901836395264
3,complete,5.0,3.0,normalize,False,False,True,False,1731301034.953405,1731301032.5489159,-0.0,0.0,2.2332170009613037
17,complete,3.0,6.0,normalize,False,False,False,False,1731301051.215154,1731301049.718209,-0.0,0.0,1.3469667434692383
14,complete,3.0,3.0,normalize,False,False,False,False,1731301046.781018,1731301046.024395,-0.0,0.0,0.5964279174804688
13,complete,5.0,3.0,standardize,True,False,False,True,1731301045.88941,1731301045.706126,-0.0,0.0,0.00020384788513183594
25,complete,5.0,3.0,maxabs,False,False,False,False,1731301061.380213,1731301060.4822268,-0.0,0.0,0.7254059314727783
22,complete,5.0,3.0,robust,True,True,False,False,1731301057.5829718,1731301057.425925,-0.0,0.0,0.0002579689025878906
23,complete,5.0,3.0,robust,False,False,False,False,1731301058.589319,1731301057.705848,-0.0,0.0,0.7178890705108643
15,complete,4.0,4.0,normalize,False,False,False,False,1731301048.597551,1731301046.89855,-0.0,0.0,1.5434770584106445
8,complete,5.0,4.0,robust,False,False,False,False,1731301039.5463738,1731301038.620212,-0.0,0.0,0.7787137031555176
30,complete,3.0,4.0,standardize,True,False,True,False,1731301067.666663,1731301067.4612968,-0.0,0.0,0.00024008750915527344
6,complete,2.0,5.0,normalize,True,False,False,True,1731301036.393385,1731301036.264611,-0.0,0.0,0.00026106834411621094
1,complete,3.0,6.0,normalize,False,False,False,True,1731301032.260867,1731301029.746359,-0.0,0.0,2.3625662326812744
4,complete,3.0,6.0,normalize,True,False,False,True,1731301035.077327,1731301034.957247,-0.0,0.0,0.0003578662872314453
12,complete,3.0,5.0,standardize,False,False,False,False,1731301045.585,1731301044.112612,1.0,-1.0,1.3384408950805664
10,complete,2.0,4.0,normalize,False,True,False,False,1731301042.490655,1731301040.834228,1.0,-1.0,1.4933102130889893
