config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
16,complete,3.0,5.0,robust,False,True,False,False,1731298912.114228,1731298909.350816,-1.0,1.0,1.3108890056610107
22,complete,2.0,4.0,robust,False,False,False,False,1731298941.772152,1731298939.1216588,-1.0,1.0,1.1240317821502686
11,complete,3.0,5.0,robust,False,False,False,False,1731298898.947985,1731298896.573921,-0.75,0.75,0.9212501049041748
9,complete,4.0,4.0,robust,False,False,False,True,1731298894.292474,1731298891.448134,-0.0,0.0,1.3738608360290527
21,complete,4.0,4.0,normalize,False,False,True,True,1731298938.997833,1731298929.96489,-0.0,0.0,7.489631175994873
26,complete,5.0,4.0,robust,False,False,False,False,1731298953.2775528,1731298950.2225559,-0.0,0.0,1.5265274047851562
19,complete,3.0,5.0,robust,False,True,False,False,1731298926.807057,1731298923.9194582,-0.0,0.0,1.3777198791503906
27,complete,2.0,6.0,robust,False,False,False,False,1731298955.536052,1731298953.406595,-0.0,0.0,0.6265158653259277
29,complete,4.0,5.0,maxabs,False,False,False,False,1731298960.237851,1731298958.044717,-0.0,0.0,0.6448907852172852
2,complete,3.0,3.0,normalize,False,False,False,False,1731298876.175626,1731298874.181779,-0.0,0.0,0.5709922313690186
4,complete,3.0,2.0,normalize,False,False,False,True,1731298881.151287,1731298878.451879,-0.0,0.0,1.2718310356140137
17,complete,3.0,5.0,robust,False,True,True,False,1731298921.1231601,1731298912.240361,-0.0,0.0,7.258425951004028
14,complete,3.0,5.0,normalize,True,True,False,True,1731298906.722646,1731298904.26959,-0.0,0.0,0.8666970729827881
3,complete,4.0,3.0,normalize,False,False,False,True,1731298878.4487941,1731298876.178613,-0.0,0.0,0.8477160930633545
23,complete,2.0,4.0,minmax,False,False,False,False,1731298944.129558,1731298941.894668,-0.0,0.0,0.6670339107513428
24,complete,5.0,3.0,robust,False,False,False,False,1731298947.2165408,1731298944.2572958,-0.0,0.0,1.4444339275360107
12,complete,3.0,5.0,standardize,False,False,False,False,1731298901.3055239,1731298899.071017,-0.0,0.0,0.7423670291900635
15,complete,3.0,5.0,robust,False,False,False,True,1731298909.219152,1731298906.849705,-0.0,0.0,0.7175519466400146
8,complete,2.0,2.0,normalize,False,False,False,False,1731298891.444787,1731298889.543277,-0.0,0.0,0.4700469970703125
30,complete,5.0,2.0,maxabs,False,False,False,False,1731298962.586807,1731298960.368374,-0.0,0.0,0.703125
1,complete,4.0,2.0,robust,False,False,True,False,1731298874.1787882,1731298866.1078882,-0.0,0.0,6.572101831436157
7,complete,5.0,6.0,normalize,True,False,False,False,1731298889.539542,1731298886.8073611,-0.0,0.0,1.1884992122650146
13,complete,3.0,5.0,robust,True,False,False,False,1731298904.1457222,1731298901.4282749,-0.0,0.0,1.2557389736175537
10,complete,3.0,2.0,robust,False,False,False,False,1731298896.45139,1731298894.2962172,-0.0,0.0,0.7046658992767334
25,complete,2.0,4.0,robust,False,False,False,False,1731298950.093139,1731298947.344123,0.25,-0.25,1.2164392471313477
6,complete,3.0,4.0,maxabs,False,False,False,False,1731298886.803794,1731298884.104876,0.25,-0.25,1.2618732452392578
18,complete,2.0,3.0,robust,False,True,False,False,1731298923.789984,1731298921.2482738,0.75,-0.75,1.0739400386810303
5,complete,4.0,6.0,normalize,False,False,False,False,1731298884.101652,1731298881.154283,1.0,-1.0,1.3506879806518555
20,complete,5.0,5.0,robust,False,False,False,False,1731298929.836652,1731298926.9346838,1.0,-1.0,1.4251608848571777
28,complete,3.0,6.0,normalize,False,False,False,True,1731298957.913932,1731298955.665615,1.0,-1.0,0.7409322261810303
