config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
3,complete,3.0,2.0,normalize,False,False,False,False,1731300421.5511339,1731300418.9058728,-0.5,0.5,1.3484501838684082
14,complete,4.0,3.0,maxabs,False,False,False,False,1731300458.864734,1731300456.1123421,-0.5,0.5,1.3785018920898438
18,complete,4.0,3.0,maxabs,False,False,False,False,1731300469.4474082,1731300466.6483479,-0.25,0.25,1.3710649013519287
17,complete,4.0,3.0,normalize,False,False,False,False,1731300466.517004,1731300463.931466,-0.25,0.25,0.9003698825836182
21,complete,3.0,5.0,normalize,False,False,False,False,1731300477.569895,1731300474.89235,-0.0,0.0,1.294792890548706
27,complete,5.0,4.0,maxabs,False,False,False,True,1731300492.947221,1731300490.1767092,-0.0,0.0,1.3772659301757812
16,complete,4.0,3.0,standardize,False,False,False,True,1731300463.803896,1731300461.046261,-0.0,0.0,1.4040460586547852
29,complete,4.0,3.0,robust,False,True,True,True,1731300504.884342,1731300495.836973,-0.0,0.0,7.654340028762817
11,complete,3.0,2.0,normalize,False,True,False,False,1731300445.5982149,1731300443.565453,-0.0,0.0,0.7479310035705566
2,complete,3.0,3.0,maxabs,True,True,False,False,1731300418.9026291,1731300416.9327328,-0.0,0.0,0.6116189956665039
5,complete,5.0,2.0,standardize,False,False,True,False,1731300432.6749382,1731300424.576812,-0.0,0.0,6.798999071121216
4,complete,3.0,6.0,normalize,False,False,False,False,1731300424.5734432,1731300421.5543108,-0.0,0.0,1.5193331241607666
9,complete,4.0,5.0,minmax,False,False,False,True,1731300441.2673972,1731300439.164892,-0.0,0.0,0.7647609710693359
25,complete,2.0,3.0,maxabs,False,False,False,False,1731300487.8339012,1731300485.613682,-0.0,0.0,0.8373818397521973
7,complete,3.0,2.0,minmax,True,False,False,False,1731300437.1765828,1731300434.5409338,-0.0,0.0,1.3529407978057861
1,complete,3.0,3.0,robust,False,False,False,False,1731300416.9296992,1731300414.756864,-0.0,0.0,0.900266170501709
6,complete,2.0,2.0,minmax,False,False,False,False,1731300434.537627,1731300432.678389,-0.0,0.0,0.4771909713745117
13,complete,3.0,2.0,normalize,False,False,False,False,1731300455.9788969,1731300453.983893,-0.0,0.0,0.6633479595184326
30,complete,4.0,3.0,normalize,True,False,False,True,1731300508.143611,1731300505.018867,-0.0,0.0,1.6529300212860107
10,complete,5.0,3.0,normalize,False,False,False,True,1731300443.443638,1731300441.271033,-0.0,0.0,0.8463060855865479
15,complete,4.0,2.0,maxabs,False,False,False,False,1731300460.920251,1731300458.992377,-0.0,0.0,0.6242091655731201
12,complete,3.0,2.0,normalize,False,False,True,False,1731300453.8598468,1731300445.719239,-0.0,0.0,6.563495874404907
24,complete,2.0,6.0,maxabs,True,False,False,False,1731300485.4866402,1731300483.4088771,-0.0,0.0,0.736137866973877
23,complete,5.0,6.0,maxabs,False,False,False,False,1731300483.282548,1731300480.447792,-0.0,0.0,1.475419282913208
8,complete,4.0,4.0,standardize,False,False,False,False,1731300439.1614442,1731300437.17987,-0.0,0.0,0.6869173049926758
19,complete,2.0,4.0,maxabs,False,False,False,False,1731300472.0340831,1731300469.575933,0.25,-0.25,1.108031988143921
22,complete,2.0,5.0,maxabs,False,False,False,False,1731300480.318527,1731300477.699199,0.25,-0.25,1.2728021144866943
28,complete,5.0,5.0,maxabs,True,True,False,True,1731300495.705659,1731300493.0780768,0.25,-0.25,1.2765049934387207
26,complete,4.0,6.0,maxabs,True,False,False,False,1731300490.047998,1731300487.970736,0.75,-0.75,0.7185049057006836
20,complete,3.0,4.0,maxabs,False,False,False,False,1731300474.765627,1731300472.227197,0.75,-0.75,1.2060050964355469
